dataset,classifier,euclidean_acc_mean,sqeuclidean_acc_mean,cityblock_acc_mean,hausdorff_acc_mean,euclidean_acc_std,sqeuclidean_acc_std,cityblock_acc_std,hausdorff_acc_std,euclidean_time_mean,sqeuclidean_time_mean,cityblock_time_mean,hausdorff_time_mean,euclidean_time_std,sqeuclidean_time_std,cityblock_time_std,hausdorff_time_std
dataset1,sdsa_knn,0.9105,0.9053,0.9302,0.9608,0.0422,0.046,0.0385,0.0289,0.5923,0.3033,0.303,0.3011,0.1871,0.0767,0.0565,0.054
dataset1,sdsa_not_update,0.9238,0.9205,0.9295,0.968,0.0388,0.0425,0.0378,0.0289,0.0322,0.0316,0.0305,0.0276,0.0173,0.0062,0.0135,0.0067
dataset1,sdsa_knn_not_update,0.9095,0.9053,0.9298,0.9607,0.0443,0.0499,0.0389,0.0314,0.0213,0.0192,0.0189,0.0203,0.011,0.0032,0.0024,0.0044
dataset2,sdsa_svc_not_update,0.9474,0.9461,0.9496,0.9606,0.0233,0.0252,0.0247,0.0218,0.0704,0.0777,0.0634,0.0612,0.034,0.0384,0.0248,0.0273
dataset2,sdsa_not_update,0.9477,0.9457,0.9496,0.9601,0.024,0.0246,0.0249,0.0217,0.0581,0.0679,0.0523,0.0536,0.0078,0.0112,0.0092,0.0155
dataset2,sdsa_lr,0.9533,0.906,0.9533,0.9587,0.0242,0.027,0.0241,0.0215,0.6212,0.5452,0.5434,0.5559,0.1253,0.0953,0.0774,0.0943
dataset2,sdsa_knn_not_update,0.9386,0.9297,0.9463,0.9549,0.0261,0.0285,0.0259,0.0227,0.0353,0.035,0.0367,0.0365,0.011,0.0078,0.0088,0.0069
dataset2,sdsa_knn,0.9381,0.9289,0.9459,0.9544,0.0267,0.0281,0.0264,0.0225,0.5348,0.5219,0.5198,0.5278,0.0767,0.0856,0.0953,0.101
dataset2,sdsa_svc,0.9481,0.9464,0.9491,0.9601,0.0238,0.0248,0.0251,0.0214,0.5961,0.5881,0.5741,0.5834,0.1196,0.113,0.1348,0.1213
dataset2,sdsa,0.9476,0.946,0.9493,0.9604,0.0232,0.0262,0.0255,0.0217,0.5969,0.582,0.5712,0.5799,0.1538,0.1386,0.1285,0.1434
dataset2,sdsa_lr_not_update,0.9537,0.906,0.9533,0.9591,0.0235,0.0279,0.0244,0.0216,0.065,0.0514,0.0617,0.06,0.0161,0.0147,0.0126,0.022
dataset3,sdsa,0.95,0.941,0.954,0.983,0.0271,0.0298,0.024,0.0126,0.6004,0.5968,0.5826,0.5764,0.1493,0.1461,0.1564,0.139
dataset3,sdsa_knn_not_update,0.949,0.9383,0.945,0.9706,0.024,0.0279,0.0253,0.0178,0.0374,0.0371,0.0346,0.0366,0.0056,0.0072,0.007,0.0069
dataset3,sdsa_svc,0.9507,0.9401,0.9551,0.9827,0.0256,0.0291,0.0225,0.013,0.5966,0.5849,0.5726,0.5762,0.1194,0.1228,0.1047,0.1149
dataset3,sdsa_lr,0.959,0.9449,0.9597,0.9926,0.0216,0.0247,0.0218,0.0085,0.611,0.5562,0.5713,0.6506,0.1109,0.0874,0.111,0.2164
dataset3,sdsa_svc_not_update,0.9513,0.9423,0.9544,0.9834,0.0264,0.0254,0.0238,0.0118,0.0637,0.0752,0.0613,0.062,0.0123,0.0184,0.0116,0.0269
dataset3,sdsa_not_update,0.9506,0.9429,0.9537,0.983,0.027,0.0277,0.0233,0.0136,0.0579,0.0636,0.0562,0.0519,0.0104,0.0108,0.0189,0.0171
dataset3,sdsa_lr_not_update,0.9583,0.9453,0.9613,0.9923,0.0215,0.0246,0.0212,0.0089,0.0631,0.0598,0.0646,0.0608,0.0123,0.0118,0.013,0.012
dataset3,sdsa_knn,0.9473,0.9381,0.9437,0.972,0.0255,0.0291,0.0261,0.0172,0.5488,0.5246,0.5312,0.5343,0.0867,0.1007,0.0825,0.1071
dataset4,sdsa_knn_not_update,0.702,0.7147,0.7146,0.7521,0.0508,0.0502,0.0492,0.0541,0.034,0.0364,0.0342,0.04,0.0043,0.0063,0.0047,0.0093
dataset4,sdsa_svc,0.727,0.7266,0.724,0.741,0.0524,0.0531,0.0518,0.053,0.6039,0.5929,0.5879,0.5934,0.1168,0.1052,0.1126,0.1158
dataset4,sdsa_svc_not_update,0.7257,0.7261,0.7253,0.7409,0.0524,0.0525,0.0521,0.0531,0.0961,0.0836,0.0812,0.08,0.0437,0.0148,0.0126,0.0144
dataset4,sdsa_knn,0.705,0.71,0.7143,0.75,0.0495,0.0485,0.0515,0.0534,0.5297,0.5287,0.5425,0.527,0.0887,0.092,0.1549,0.0755
dataset4,sdsa_not_update,0.7264,0.727,0.7244,0.7404,0.0521,0.0531,0.0523,0.0517,0.0869,0.075,0.0755,0.0719,0.0305,0.0085,0.0099,0.0123
dataset4,sdsa_lr_not_update,0.7331,0.7304,0.7714,0.9637,0.0529,0.0511,0.0518,0.0234,0.0953,0.0554,0.0939,0.085,0.0221,0.01,0.0169,0.0225
dataset4,sdsa,0.7263,0.7266,0.7251,0.7424,0.0516,0.0527,0.052,0.053,0.6246,0.6044,0.6037,0.6362,0.1667,0.1476,0.1548,0.2174
dataset4,sdsa_lr,0.7311,0.731,0.7684,0.9581,0.0533,0.0508,0.0529,0.0268,0.7248,0.5496,0.5835,0.5831,0.2629,0.0912,0.083,0.099
dry_climates,sdsa_knn,0.9419,0.9332,0.9427,0.9366,0.0316,0.0341,0.0278,0.0327,0.7577,0.7496,0.7574,0.7564,0.1072,0.1144,0.1023,0.1206
dry_climates,sdsa_svc_not_update,0.9502,0.8915,0.9469,0.9422,0.0327,0.0436,0.0313,0.0346,0.074,0.0811,0.0808,0.0745,0.0204,0.0258,0.0364,0.0137
dry_climates,sdsa_not_update,0.9266,0.9333,0.9249,0.9085,0.0361,0.0382,0.0366,0.0375,0.1139,0.1121,0.1039,0.1132,0.0415,0.0273,0.0136,0.0256
dry_climates,sdsa_lr_not_update,0.9596,0.9626,0.9607,0.9519,0.0294,0.0276,0.0272,0.0291,0.1678,0.1482,0.1779,0.1698,0.0715,0.0421,0.0418,0.0593
dry_climates,sdsa_knn_not_update,0.9404,0.9314,0.9431,0.9345,0.0313,0.0349,0.0304,0.0318,0.0522,0.0514,0.053,0.0528,0.0081,0.0076,0.0099,0.0078
dry_climates,sdsa,0.922,0.9291,0.9251,0.9123,0.0366,0.0323,0.0347,0.0368,0.8376,0.8449,0.8411,0.847,0.158,0.1948,0.1744,0.1689
dry_climates,sdsa_svc,0.9511,0.8942,0.9465,0.9429,0.0315,0.0425,0.0316,0.0313,0.8103,0.8025,0.8041,0.8134,0.1147,0.1334,0.1187,0.1333
dry_climates,sdsa_lr,0.9602,0.9601,0.9605,0.9531,0.0293,0.0289,0.0288,0.0292,0.9595,0.8181,0.8647,0.8443,0.1651,0.1089,0.1114,0.1151
european_climates,sdsa_svc_not_update,0.9339,0.9289,0.9573,0.9592,0.0418,0.042,0.0334,0.034,0.0438,0.0456,0.038,0.0387,0.01,0.0164,0.0049,0.0079
european_climates,sdsa_not_update,0.9182,0.9191,0.9407,0.9407,0.0405,0.048,0.0446,0.0423,0.0513,0.0563,0.05,0.0516,0.0105,0.0327,0.0092,0.0086
european_climates,sdsa_svc,0.9346,0.9296,0.9558,0.9607,0.0414,0.0436,0.0336,0.0311,0.5073,0.5019,0.4983,0.4958,0.1008,0.1033,0.0972,0.0887
european_climates,sdsa_lr,0.9478,0.9336,0.9567,0.9611,0.0377,0.0429,0.0344,0.0328,0.5224,0.48,0.5469,0.5064,0.0886,0.0837,0.1352,0.1037
european_climates,sdsa_knn_not_update,0.9358,0.9339,0.9435,0.9528,0.0434,0.0427,0.0384,0.0335,0.0328,0.0309,0.0322,0.0327,0.0072,0.0037,0.0052,0.006
european_climates,sdsa_lr_not_update,0.9484,0.933,0.9576,0.9601,0.0354,0.0416,0.0363,0.0347,0.055,0.049,0.0475,0.0488,0.0199,0.0128,0.0091,0.0101
european_climates,sdsa_knn,0.9364,0.9339,0.9423,0.9534,0.0437,0.0427,0.039,0.0329,0.4737,0.4723,0.4755,0.4697,0.0941,0.101,0.1077,0.0854
european_climates,sdsa,0.9216,0.9204,0.9388,0.9367,0.0407,0.0459,0.0388,0.0442,0.5365,0.5265,0.5317,0.5347,0.1329,0.1432,0.1393,0.1412
mushroom,sdsa_lr,0.74,0.7336,0.7393,0.7368,0.0082,0.0201,0.011,0.0157,0.1158,0.0923,0.1031,0.0953,0.0418,0.0105,0.0209,0.0101
mushroom,sdsa_knn_not_update,0.6901,0.6948,0.6843,0.6837,0.0845,0.0822,0.0807,0.073,0.0079,0.0089,0.0075,0.0081,0.0038,0.0087,0.0043,0.0039
mushroom,sdsa_svc,0.74,0.74,0.74,0.74,0.0082,0.0082,0.0082,0.0082,0.1021,0.1113,0.115,0.1053,0.0223,0.0485,0.0488,0.031
mushroom,sdsa_not_update,0.6281,0.6093,0.6134,0.6524,0.1156,0.1144,0.1255,0.1,0.011,0.0106,0.0105,0.0097,0.0037,0.004,0.0042,0.0032
mushroom,sdsa_lr_not_update,0.7362,0.7342,0.7348,0.7374,0.0155,0.0189,0.0236,0.0149,0.0193,0.0167,0.023,0.0222,0.0063,0.005,0.0095,0.0062
mushroom,sdsa_svc_not_update,0.74,0.74,0.74,0.74,0.0082,0.0082,0.0082,0.0082,0.0109,0.0103,0.0103,0.0104,0.0053,0.0039,0.0036,0.0036
mushroom,sdsa_knn,0.6859,0.6979,0.6885,0.6694,0.08,0.0862,0.0728,0.0796,0.0881,0.1001,0.087,0.0979,0.0098,0.04,0.0085,0.0372
mushroom,sdsa,0.6106,0.5877,0.6108,0.6564,0.1257,0.1136,0.1123,0.1073,0.1001,0.0888,0.0897,0.1081,0.0234,0.0109,0.0115,0.0409
