pileus_width_min,pileus_width_max,stipe_length_min,stipe_length_max,stipe_thickness_min,stipe_thickness_max,target
2.00,5.00,1.50,5.00,0.20,0.50,0
2.00,2.50,4.00,9.00,0.60,1.00,0
5.00,13.00,5.00,12.00,0.70,1.70,0
2.00,12.00,2.00,7.00,1.00,2.50,0
2.50,5.00,2.50,6.00,0.50,1.00,0
5.00,13.00,5.00,11.00,1.50,3.00,0
1.50,4.00,2.00,6.00,0.20,0.50,0
3.00,15.00,3.00,9.00,1.50,3.50,0
4.00,14.00,5.00,10.00,1.00,3.00,0
3.00,12.00,5.00,11.00,1.50,4.00,0
3.00,6.00,3.00,7.00,0.70,1.80,0
2.50,8.00,2.00,8.00,0.50,1.50,0
5.00,10.00,2.00,8.00,3.00,7.00,0
3.00,5.00,3.00,15.00,1.00,3.00,0
1.50,4.00,4.00,9.00,0.30,0.50,0
3.00,7.00,2.50,7.00,0.50,1.30,0
2.50,7.00,4.00,12.00,0.50,1.50,0
2.50,7.00,4.00,8.00,0.50,1.20,0
6.00,14.00,12.00,15.00,1.50,2.00,0
4.00,11.00,2.00,9.00,1.50,2.50,0
5.00,14.00,4.00,6.00,2.00,4.00,0
2.50,6.00,5.00,7.00,0.40,1.00,0
1.00,2.50,2.50,5.00,0.50,1.00,0
1.00,6.50,2.00,12.00,0.30,1.20,0
1.50,5.00,3.00,6.00,0.20,0.60,0
5.00,13.00,3.00,6.00,1.50,2.50,0
5.00,12.00,2.00,5.00,1.00,2.50,0
5.00,18.00,9.00,17.00,2.00,4.00,0
7.00,30.00,6.00,16.00,2.50,7.00,0
3.00,9.00,2.00,4.00,1.50,2.50,0
4.00,9.00,5.00,11.00,0.70,1.40,0
7.00,20.00,6.00,16.00,2.00,3.00,0
5.00,13.00,4.00,8.00,1.50,3.00,0
5.00,25.00,4.00,15.00,1.00,6.00,0
0.50,2.00,3.00,8.00,0.10,0.30,0
2.00,7.00,1.00,4.00,0.50,3.00,0
2.00,8.00,2.00,7.00,1.50,3.00,0
2.00,5.00,3.00,14.00,0.20,0.50,0
5.00,25.00,0.50,3.00,0.50,2.00,0
2.00,8.00,3.50,9.00,0.50,1.00,0
6.00,11.00,5.00,12.00,1.00,2.50,0
5.00,13.50,5.00,9.00,1.00,1.50,0
1.50,5.50,3.00,7.00,0.30,0.50,0
2.00,4.50,2.00,7.00,0.30,0.70,0
2.00,4.50,3.00,6.00,0.30,0.60,0
6.00,12.00,4.00,6.00,2.00,3.00,0
8.00,16.00,8.00,13.00,2.00,3.50,0
5.00,13.00,3.00,8.00,1.50,2.00,0
4.00,14.00,7.00,17.00,1.00,2.00,0
3.50,10.00,1.50,6.00,1.50,3.50,0
6.00,13.00,2.00,7.00,1.00,3.50,0
4.00,15.00,4.00,7.00,2.00,3.50,0
4.00,12.00,3.00,7.00,1.50,2.50,0
5.00,11.00,5.00,9.00,1.50,3.00,0
2.00,3.50,4.00,10.00,1.00,2.50,0
3.00,12.00,2.50,10.00,1.00,2.50,0
7.00,12.00,7.00,15.00,1.50,3.00,0
6.00,14.00,9.00,18.00,1.50,2.00,0
4.00,7.00,15.00,35.00,0.50,1.50,1
1.50,3.00,2.50,6.00,0.50,1.00,1
0.50,3.00,4.00,10.00,0.20,0.30,1
1.00,1.50,1.00,3.00,0.10,0.30,1
1.00,7.00,0.50,5.00,0.30,0.70,1
2.50,5.00,3.00,6.00,0.50,0.70,1
7.00,20.00,7.00,21.00,1.00,4.00,1
2.00,7.00,2.00,9.00,0.40,1.50,1
6.00,13.00,2.00,5.00,1.50,2.50,1
3.00,7.00,2.50,4.00,1.50,2.00,1
4.00,20.00,3.00,7.00,2.50,4.00,1
5.00,11.00,4.00,8.00,1.00,2.50,1
2.00,5.00,0.50,6.00,0.40,0.80,1
4.00,11.00,3.00,7.00,1.00,2.50,1
5.00,10.00,3.00,8.00,1.50,2.50,1
4.00,9.00,4.50,8.00,1.50,2.00,1
4.00,11.00,3.00,7.00,0.40,1.00,1
7.00,14.00,8.00,14.00,1.50,2.50,1
7.00,19.00,8.00,15.00,2.00,3.50,1
5.00,17.00,4.00,14.00,1.00,3.50,1
5.00,13.00,10.00,22.00,1.50,3.00,1
4.00,15.00,7.00,11.00,1.00,2.50,1
3.50,15.00,4.00,18.00,1.00,3.00,1
5.00,15.00,2.50,6.50,1.00,2.00,1
1.00,2.50,1.50,5.00,0.10,0.30,1
5.00,9.00,3.00,6.00,1.00,3.00,1
2.00,6.00,2.00,10.00,0.20,0.60,1
5.00,12.00,4.00,8.00,2.00,4.00,1
3.00,8.00,2.00,6.00,1.00,2.50,1
4.00,9.00,4.00,7.00,0.70,1.40,1
2.00,4.00,2.50,5.00,0.30,0.60,1
1.50,2.50,2.00,5.00,0.20,0.40,1
2.50,6.50,4.00,10.00,0.30,0.80,1
6.00,18.00,5.00,15.00,1.00,4.00,1
4.00,11.00,3.00,6.00,1.00,2.00,1
2.00,5.00,2.50,7.00,0.20,0.60,1
5.00,15.00,3.00,6.00,1.00,3.00,1
4.00,9.00,4.00,10.00,1.00,3.00,1
2.00,5.00,1.50,4.50,0.40,0.70,1
5.00,12.00,3.00,6.00,1.00,3.50,1
